Date,P,Temp,E,Q
1/1/1984,7.09,-1.60835,0,14.31541667
1/2/1984,10.47,-2.44165,0,14.885625
1/3/1984,0,-10.41945,0,13.16791667
1/4/1984,9.48,-10.89445,0,11.73708333
1/5/1984,4.85,-7.2,0,14.02854167
1/6/1984,3.24,-2.12775,0,15.1725
1/7/1984,6.64,-0.4389,0,15.74625
1/8/1984,7.37,-3.1472,0,15.459375
1/9/1984,19.81,-1.99165,0,14.885625
1/10/1984,15.17,-3.60555,0,14.885625
1/11/1984,64.94,-2.28335,0,15.459375
1/12/1984,11.44,-4.0139,0,16.32
1/13/1984,1.05,-8.3139,0,16.89020833
1/14/1984,0,-8.93055,0,16.32
1/15/1984,0.41,-3.3639,0,16.033125
1/16/1984,0.53,-3.1722,0,16.89020833
1/17/1984,6.88,-0.5639,0,18.06604167
1/18/1984,28.7,-0.81665,0,18.52291667
1/19/1984,18.77,0.5028,0,19.44020833
1/20/1984,16.2,2.2278,0,40.08104167
1/21/1984,34.45,2.10555,0,64.41583333
1/22/1984,20.64,-0.0917,0,60.12333333
1/23/1984,12.1,-2.20555,0,41.79875
1/24/1984,6.34,-4.04445,0,32.34958333
1/25/1984,7.81,-7.1361,0,27.54
1/26/1984,1.68,-13.4417,0,21.10125
1/27/1984,0.09,-12.20835,0,17.20541667
1/28/1984,1.77,-11.6111,0,16.033125
1/29/1984,4.47,-10.7056,0,16.32
1/30/1984,0.19,-9.78335,0,16.60333333
1/31/1984,5.43,-10.95555,0,16.89020833
2/1/1984,0.53,-12.975,0,15.74625
2/2/1984,0,-11.2361,0,15.1725
2/3/1984,0,-10.36945,0,14.885625
2/4/1984,0.6,-10.63335,0,16.033125
2/5/1984,8.42,-7.85835,0,17.75083333
2/6/1984,5.71,-3.36665,0,20.35395833
2/7/1984,6.98,-1.20835,0,21.58645833
2/8/1984,7.42,-1.1861,0,21.32791667
2/9/1984,1.78,-1.06665,0.012,20.84270833
2/10/1984,0,-5.03055,0.032,19.666875
2/11/1984,2.19,-5.49725,0.053,19.89708333
2/12/1984,7.22,-1.875,0.075,18.97979167
2/13/1984,29.5,-0.0972,0.097,24.851875
2/14/1984,3.91,-3.46665,0.12,26.73958333
2/15/1984,22.7,-1.8472,0.143,25.106875
2/16/1984,15.3,0.85,0.167,32.63645833
2/17/1984,14.87,-1.00835,0.192,46.665
2/18/1984,13.72,1.05835,0.217,46.665
