Date,P,Temp,E,Q
1/1/2005,12.63,-7.90835,0,15.0025
1/2/2005,4.72,-11.875,0,15.14416667
1/3/2005,3.34,-11.1972,0,14.65895833
1/4/2005,3.08,-9.08055,0,14.9175
1/5/2005,0.23,-11.1389,0,14.25875
1/6/2005,0.98,-11.36385,0,13.74166667
1/7/2005,0.15,-11.99445,0,11.45020833
1/8/2005,3.29,-11.8639,0,9.162291667
1/9/2005,0.59,-14.1833,0,10.30625
1/10/2005,0.4,-12.1361,0,8.588541667
1/11/2005,0.18,-12.6722,0,8.588541667
1/12/2005,0.84,-12.77775,0,8.588541667
1/13/2005,2.4,-11.60275,0,8.014791667
1/14/2005,2.02,-6.525,0,10.30625
1/15/2005,0.26,-6.3889,0,14.31541667
1/16/2005,1.85,-7.7,0,17.17708333
1/17/2005,1,-6.00555,0,16.033125
1/18/2005,0.15,-8.08055,0,14.31541667
1/19/2005,5.47,-5.59445,0,13.74166667
1/20/2005,10.64,-2.7611,0,16.46166667
1/21/2005,13.07,-2.4889,0,18.46625
1/22/2005,16.03,-4.4639,0,17.8925
1/23/2005,0.85,-7.7667,0,16.51833333
1/24/2005,18.03,-5.4278,0,16.06145833
1/25/2005,10.23,-0.5583,0,18.009375
1/26/2005,0.07,-0.2028,0,22.04333333
1/27/2005,0.47,-1.05555,0,21.04104167
1/28/2005,0.17,-0.9722,0,19.581875
1/29/2005,0.09,-2.975,0,18.55125
1/30/2005,0.06,-2.7139,0,17.605625
1/31/2005,0.31,-1.95555,0,16.91854167
2/1/2005,0.02,-4.09445,0,16.74854167
2/2/2005,0,-4.45555,0,16.17479167
2/3/2005,0,-3.93055,0,16.91854167
2/4/2005,0.01,-2.0889,0,17.03541667
2/5/2005,0,-2.30555,0,17.40729167
2/6/2005,0.28,-3.20555,0,17.29041667
2/7/2005,0.03,-0.3111,0,16.80520833
2/8/2005,1.69,-1.48055,0,17.00708333
2/9/2005,6.39,-2.72225,0.012,17.92083333
2/10/2005,0.78,-2.7083,0.032,18.97979167
2/11/2005,2.36,-2.95555,0.053,18.668125
2/12/2005,4.34,-2.36115,0.075,19.125
2/13/2005,1.44,-3.10275,0.097,19.32333333
2/14/2005,3.19,-6.575,0.12,19.15333333
2/15/2005,0.59,-15.08335,0.143,17.46395833
2/16/2005,0.07,-16.99445,0.167,13.228125
2/17/2005,0.64,-13.76665,0.192,11.96729167
2/18/2005,16.11,-10.2556,0.217,15.26104167
2/19/2005,7.77,-6.06665,0.242,16.946875
2/20/2005,3.05,-7.02225,0.269,17.75083333
2/21/2005,8.79,-9.41945,0.295,17.00708333
2/22/2005,3.66,-8.6722,0.323,16.203125
2/23/2005,0.16,-7.8472,0.35,15.43104167
2/24/2005,0.28,-9.15555,0.379,15.03083333
2/25/2005,0.45,-9.3361,0.407,14.82895833
2/26/2005,0.03,-9.37775,0.437,15.1725
2/27/2005,0.35,-7.71665,0.466,14.68729167
2/28/2005,1,-4.12225,0.497,14.630625
3/1/2005,1.33,-2.8889,0.527,14.48541667
3/2/2005,0.41,-3.3083,0.558,14.51375
3/3/2005,1.13,-3.13055,0.59,14.40041667
3/4/2005,6.57,-1.58055,0.622,14.97416667
3/5/2005,3.45,0.97775,0.655,18.38125
3/6/2005,0.28,3.81945,0.687,22.56041667
3/7/2005,0.11,3.63335,0.721,28.37229167
3/8/2005,0.87,1.3139,0.754,32.63645833
3/9/2005,0.02,-0.15555,0.789,33.78395833
3/10/2005,0.05,-1.7,0.823,33.78395833
3/11/2005,0,-5.04445,0.858,32.63645833
3/12/2005,0.05,-4.7333,0.893,30.91875
3/13/2005,1.41,-1.6639,0.929,28.91416667
3/14/2005,12.72,-0.18615,0.965,31.205625
3/15/2005,18.12,-0.73055,1.001,43.22958333
3/16/2005,3.31,-1.6028,1.037,56.11416667
3/17/2005,7.71,1.05835,1.074,50.67416667
3/18/2005,10.82,2.1361,1.111,64.41583333
3/19/2005,1.99,1.8139,1.149,80.44895833
3/20/2005,13.32,0.13055,1.187,78.73125
3/21/2005,1.46,1.1833,1.225,75.86958333
3/22/2005,1.07,5.1806,1.263,69.56895833
3/23/2005,3.46,5.63885,1.301,74.151875
3/24/2005,5.82,2.98055,1.34,86.17583333
3/25/2005,3.88,3.14445,1.379,90.46833333
3/26/2005,8.65,3.4889,1.418,97.05229167
3/27/2005,1.76,3.3667,1.457,107.0752083
3/28/2005,0.57,3.13055,1.497,108.2191667
3/29/2005,2.95,2.34725,1.536,106.2145833
3/30/2005,1.37,1.85275,1.576,99.630625
3/31/2005,0.43,3.7111,1.616,93.33354167
4/1/2005,10.27,3.84165,1.656,92.75979167
4/2/2005,9.01,3.34165,1.697,102.4922917
4/3/2005,6.78,3.38335,1.737,103.0660417
4/4/2005,15.14,2.1056,1.778,120.243125
4/5/2005,2.62,-0.0139,1.818,122.8214583
4/6/2005,0.25,0.1139,1.859,112.7985417
4/7/2005,2.59,1.8278,1.899,103.3529167
4/8/2005,7.75,5.02225,1.94,98.48666667
4/9/2005,6.37,2.03055,1.981,112.5152083
4/10/2005,6.11,0.1083,2.022,108.5060417
4/11/2005,2.51,0.6111,2.063,101.9220833
4/12/2005,0.76,-0.36385,2.104,95.05125
4/13/2005,0.38,0.5278,2.144,88.750625
4/14/2005,2.35,2.3222,2.185,86.45916667
4/15/2005,2.81,0.1778,2.226,83.5975
4/16/2005,1,3.63055,2.267,81.30604167
4/17/2005,2.87,5.20835,2.307,82.74041667
4/18/2005,13.55,1.83885,2.348,96.76895833
4/19/2005,0.78,1.58055,2.389,94.190625
4/20/2005,0.84,2.5722,2.429,88.46375
4/21/2005,0.16,5,2.469,88.176875
4/22/2005,5.01,3.47775,2.51,91.89916667
4/23/2005,0.22,2.7861,2.55,94.4775
4/24/2005,3.51,2.4972,2.59,94.4775
4/25/2005,5.5,4.39725,2.63,95.05125
4/26/2005,6.82,2.44165,2.669,102.2054167
4/27/2005,2.15,2.68335,2.709,100.204375
4/28/2005,1.72,2.65835,2.748,97.33916667
4/29/2005,11.37,3.0889,2.787,104.496875
4/30/2005,9,3.9083,2.826,131.123125
5/1/2005,3.13,5.2583,2.865,135.989375
5/2/2005,3.08,5.45835,2.903,153.1664583
5/3/2005,9.45,4.90835,2.942,172.06125
5/4/2005,12.25,2.22225,2.98,187.2372917
5/5/2005,1.03,6.7,3.017,176.6441667
5/6/2005,6.28,4.99445,3.055,192.6772917
5/7/2005,2.98,2.1639,3.092,206.7058333
5/8/2005,8.61,2.2028,3.129,190.9595833
5/9/2005,0.27,5.31945,3.165,174.6395833
5/10/2005,0.39,10.9778,3.201,177.214375
5/11/2005,0.16,14.7389,3.237,229.0360417
5/12/2005,0.07,15.7611,3.273,326.3752083
5/13/2005,0.29,15.93335,3.308,412.2641667
5/14/2005,0.39,15.15555,3.343,478.1108333
5/15/2005,0.04,13.9333,3.377,506.7416667
5/16/2005,0,13.29725,3.411,475.2491667
5/17/2005,0.21,12.775,3.445,449.48
5/18/2005,0.22,13.8583,3.478,417.9910417
5/19/2005,1.04,14.7111,3.511,415.1258333
5/20/2005,4.66,12.39165,3.544,417.9910417
5/21/2005,4.41,9.49165,3.576,412.2641667
5/22/2005,3.92,6.5778,3.607,357.8677083
5/23/2005,0.52,6.7889,3.638,300.6095833
5/24/2005,0.43,9.10835,3.669,261.09875
5/25/2005,13.68,12.79445,3.699,250.2222917
5/26/2005,7.63,12.34445,3.729,366.45625
5/27/2005,3.98,13.2889,3.758,323.5135417
5/28/2005,4.23,12.075,3.787,312.0597917
5/29/2005,0.73,10.31945,3.815,282.571875
5/30/2005,0.9,11.14725,3.843,244.7822917
5/31/2005,4.75,13.98335,3.87,221.8783333
6/1/2005,9.28,9.80555,3.897,244.2085417
6/2/2005,4.49,8.7583,3.923,224.1697917
6/3/2005,0.09,8.25835,3.949,193.534375
